row,name,url,length,artist,album,cover
60,Tick Tock,https://a.tumblr.com/tumblr_os5j8np9go1vupy1do1.mp3,346,Takatsuki Yayoi,THE IDOLM@STER MASTER ARTIST 3 10 Takatsuki Yayoi,https://www.project-imas.com/w/images/e/e1/MASTER_ARTIST_3_10.jpg
61,Good-Byes,https://a.tumblr.com/tumblr_nwkk3nkbKN1tb0hhho1.mp3,239,Miura Azusa,THE IDOLM@STER MASTER ARTIST 3 11 Miura Azusa ,https://www.project-imas.com/w/images/6/67/MASTER_ARTIST_3_11.jpg
62,Hanikami! First Bite,https://a.tumblr.com/tumblr_os7ktrp9Jp1vupy1do1.mp3,248,Miura Azusa,THE IDOLM@STER MASTER ARTIST 3 11 Miura Azusa ,https://www.project-imas.com/w/images/6/67/MASTER_ARTIST_3_11.jpg
63,Koi Kokoro,https://a.tumblr.com/tumblr_nwkje55L1L1tb0hhho1.mp3,226,Miura Azusa,THE IDOLM@STER MASTER ARTIST 3 11 Miura Azusa ,https://www.project-imas.com/w/images/6/67/MASTER_ARTIST_3_11.jpg
64,Kuon no Kawa,https://a.tumblr.com/tumblr_olc96teqMi1tb0hhho1.mp3,271,Miura Azusa,THE IDOLM@STER MASTER ARTIST 3 11 Miura Azusa ,https://www.project-imas.com/w/images/6/67/MASTER_ARTIST_3_11.jpg
65,ONLY MY NOTE,https://a.tumblr.com/tumblr_os7ky51IM31vupy1do1.mp3,251,Miura Azusa,THE IDOLM@STER MASTER ARTIST 3 11 Miura Azusa ,https://www.project-imas.com/w/images/6/67/MASTER_ARTIST_3_11.jpg
66,Senbonzakura,https://a.tumblr.com/tumblr_nwkjwj7eec1tb0hhho1.mp3,251,Miura Azusa,THE IDOLM@STER MASTER ARTIST 3 11 Miura Azusa ,https://www.project-imas.com/w/images/6/67/MASTER_ARTIST_3_11.jpg
67,Coffee Ippai no Image,https://a.tumblr.com/tumblr_os9mo3TAwf1vupy1do1.mp3,259,Futami Ami,THE IDOLM@STER MASTER ARTIST 3 12 Futami Ami ,https://www.project-imas.com/w/images/a/a7/MASTER_ARTIST_3_12.jpg
68,Good-Byes,https://a.tumblr.com/tumblr_os9mqr61LE1vupy1do1.mp3,239,Futami Ami,THE IDOLM@STER MASTER ARTIST 3 12 Futami Ami ,https://www.project-imas.com/w/images/a/a7/MASTER_ARTIST_3_12.jpg
69,Okuru Kotoba,https://files.catbox.moe/g7hq6o.mp3,246,Futami Ami,THE IDOLM@STER MASTER ARTIST 3 12 Futami Ami ,https://www.project-imas.com/w/images/a/a7/MASTER_ARTIST_3_12.jpg
70,ONLY MY NOTE,https://a.tumblr.com/tumblr_os9mri84Nj1vupy1do1.mp3,252,Futami Ami,THE IDOLM@STER MASTER ARTIST 3 12 Futami Ami ,https://www.project-imas.com/w/images/a/a7/MASTER_ARTIST_3_12.jpg
71,Triple Angel,https://a.tumblr.com/tumblr_nxmoyzSmNl1tb0hhho1.mp3,234,Futami Ami,THE IDOLM@STER MASTER ARTIST 3 12 Futami Ami ,https://www.project-imas.com/w/images/a/a7/MASTER_ARTIST_3_12.jpg
72,YATTA!,https://a.tumblr.com/tumblr_os9moyBjtK1vupy1do1.mp3,240,Futami Ami,THE IDOLM@STER MASTER ARTIST 3 12 Futami Ami ,https://www.project-imas.com/w/images/a/a7/MASTER_ARTIST_3_12.jpg
73,Ai LIKE Hamburguer,https://a.tumblr.com/tumblr_osb5ro5omb1vupy1do1.mp3,281,Akizuki Ritsuko,THE IDOLM@STER MASTER ARTIST 3 13 Akizuki Ritsuko,https://www.project-imas.com/w/images/5/57/MASTER_ARTIST_3_13.jpg
74,Diamonds,https://a.tumblr.com/tumblr_osb5sigOvs1vupy1do1.mp3,300,Akizuki Ritsuko,THE IDOLM@STER MASTER ARTIST 3 13 Akizuki Ritsuko,https://www.project-imas.com/w/images/5/57/MASTER_ARTIST_3_13.jpg
75,Good-Byes,https://a.tumblr.com/tumblr_osb5uhOZYk1vupy1do1.mp3,239,Akizuki Ritsuko,THE IDOLM@STER MASTER ARTIST 3 13 Akizuki Ritsuko,https://www.project-imas.com/w/images/5/57/MASTER_ARTIST_3_13.jpg
76,ONLY MY NOTE,https://a.tumblr.com/tumblr_osb5v9NnuC1vupy1do1.mp3,252,Akizuki Ritsuko,THE IDOLM@STER MASTER ARTIST 3 13 Akizuki Ritsuko,https://www.project-imas.com/w/images/5/57/MASTER_ARTIST_3_13.jpg
77,Sakurairo Maukoro,https://a.tumblr.com/tumblr_osb5tkLJum1vupy1do1.mp3,296,Akizuki Ritsuko,THE IDOLM@STER MASTER ARTIST 3 13 Akizuki Ritsuko,https://www.project-imas.com/w/images/5/57/MASTER_ARTIST_3_13.jpg
78,Watashi Datte Onnanoko,https://a.tumblr.com/tumblr_osb5quTbvL1vupy1do1.mp3,247,Akizuki Ritsuko,THE IDOLM@STER MASTER ARTIST 3 13 Akizuki Ritsuko,https://www.project-imas.com/w/images/5/57/MASTER_ARTIST_3_13.jpg
79,Tonde Icchaitai No,https://a.tumblr.com/tumblr_out3i7z9gs1w8huxoo1.mp3,245,"Ichinose Shiki and Mimura Kanako and Miyamoto Frederica",THE IDOLM@STER CINDERELLA GIRLS MASTER SEASONS SUMMER!,https://www.project-imas.com/w/images/thumb/d/d9/CC_MS_SUMMER%21.jpg/600px-CC_MS_SUMMER%21.jpg
80,Honey Heartbeat,https://a.tumblr.com/tumblr_optg7uzMHa1vupy1do1.mp3,318,"Amami Haruka and Kikuchi Makoto and Futami Mami",THE IDOLM@STER ANIM@TION MASTER Namassuka SPECIAL 04,https://www.project-imas.com/w/images/thumb/3/3a/COCX-37416.jpg/600px-COCX-37416.jpg
81,First Stage,https://a.tumblr.com/tumblr_pa3aoj0Jx01w8huxoo1.mp3,289,"Hagiwara Yukiho and Kikuchi Makoto",THE IDOLM@STER ANIM@TION MASTER 02,https://www.project-imas.com/w/images/c/ca/COCX-36899.jpg
82,SMOKY THRILL,https://a.tumblr.com/tumblr_oi2jclrday1tb0hhho1.mp3,292,"Minase Iori and Miura Azusa and Futami Ami","THE IDOLM@STER 2 ""SMOKY THRILL""",https://www.project-imas.com/w/images/0/05/COCC-16442.jpg
83,Miracle Night,https://a.tumblr.com/tumblr_od3xxpsInh1vupy1do1.mp3,295,"Amami Haruka and Kikuchi Makoto and Futami Ami and Futami Mami and Minase Iori",THE IDOLM@STER PLATINUM MASTER 01 Miracle Night,https://www.project-imas.com/w/images/6/6a/PlatinumM%40ster_01.jpg
84,Naked Romance,https://a.tumblr.com/tumblr_mhxukq2i4Q1s4t1olo1.mp3,202,Kohinata Miho,THE IDOLM@STER CINDERELLA MASTER 011 Kohinata Miho,https://www.project-imas.com/w/images/thumb/3/3d/Cinderella_master_011_cover.jpg/600px-Cinderella_master_011_cover.jpg
85,Kimi Ni Todoke,https://a.tumblr.com/tumblr_o9iignYagY1tb0hhho1.mp3,206,Tachibana Arisu,THE IDOLM@STER CINDERELLA MASTER Cool jewelries! 003,https://www.project-imas.com/w/images/thumb/2/26/Cool_jewelries_003.jpg/600px-Cool_jewelries_003.jpg
86,ØωØver!!,https://a.tumblr.com/tumblr_nmrsjyLtZt1s4t1olo1.mp3,223,"Maekawa Miku and Tada Riina",THE IDOLM@STER CINDERELLA GIRLS ANIMATION PROJECT 06 ØωØver!!,https://www.project-imas.com/w/images/c/ca/CG_Animation_Project_06.jpg
87,Natsukko Ondo (Haru Ver),https://a.tumblr.com/tumblr_peyjdq2K291w8huxoo1.mp3,192,Yuuki Haru,THE IDOLM@STER CINDERELLA GIRLS LITTLE STARS! Natsukko Ondo,https://www.project-imas.com/w/images/3/35/CINDERELLA_GIRLS_LITTLE_STARS%21_Natsukko_Ondo.jpg
